Ensgid_var	GeneSymbol	Age.Coef	p.value	FDR	Organs	Ensgid
ENSG00000225630.1	MTND2P28	-0.0152593846877362	7.90941162105806e-05	0.000901866427225598	Adipose_Subcutaneous	ENSG00000225630
ENSG00000205231.1	TTLL10-AS1	-0.015648392590244	2.47232376467586e-05	0.000390275461006368	Adipose_Subcutaneous	ENSG00000205231
ENSG00000131584.14	ACAP3	0.01387371725423	2.96951234893997e-05	0.000443950430804234	Adipose_Subcutaneous	ENSG00000131584
ENSG00000162576.12	MXRA8	0.0135048737891691	6.03010435706236e-05	0.000735246798748944	Adipose_Subcutaneous	ENSG00000162576
ENSG00000178821.8	TMEM52	-0.0222566547162868	3.72411963470541e-09	1.04344899820386e-06	Adipose_Subcutaneous	ENSG00000178821
ENSG00000157873.13	TNFRSF14	0.0146774167075573	6.81039641695624e-05	0.000808548664504428	Adipose_Subcutaneous	ENSG00000157873
ENSG00000162591.11	MEGF6	0.0210172353935119	6.30748319155865e-09	1.54724222552932e-06	Adipose_Subcutaneous	ENSG00000162591
ENSG00000116237.11	ICMT	-0.0180560388832406	2.2160740731812e-06	7.41728347330648e-05	Adipose_Subcutaneous	ENSG00000116237
ENSG00000158292.6	GPR153	-0.0149726809982483	3.36506734466965e-05	0.000488589957217105	Adipose_Subcutaneous	ENSG00000158292
ENSG00000234546.2	RP3-510D11.2	0.0288764608508432	1.03447798228591e-13	2.75511043196518e-10	Adipose_Subcutaneous	ENSG00000234546
ENSG00000171612.6	SLC25A33	-0.0164354396530898	3.36316889474918e-05	0.000488589957217105	Adipose_Subcutaneous	ENSG00000171612
ENSG00000142657.16	PGD	-0.0171198750621857	3.92238567968128e-07	2.28387900043313e-05	Adipose_Subcutaneous	ENSG00000142657
ENSG00000116688.12	MFN2	-0.0188999007457944	6.77371082685559e-07	3.32321818276497e-05	Adipose_Subcutaneous	ENSG00000116688
ENSG00000162496.4	DHRS3	-0.0163127216691458	1.08460840913875e-05	0.000223240315476577	Adipose_Subcutaneous	ENSG00000162496
ENSG00000169641.9	LUZP1	-0.0158756805808635	4.26914999646895e-06	0.000115239534819074	Adipose_Subcutaneous	ENSG00000169641
ENSG00000088280.14	ASAP3	0.0170981009956583	1.95948405578263e-05	0.000333613344766718	Adipose_Subcutaneous	ENSG00000088280
ENSG00000011007.8	TCEB3	-0.0181202865664333	1.00692368136175e-07	9.82831318933359e-06	Adipose_Subcutaneous	ENSG00000011007
ENSG00000001460.13	STPG1	-0.0130637321525248	8.39732713438036e-05	0.000943087312816472	Adipose_Subcutaneous	ENSG00000001460
ENSG00000117676.9	RPS6KA1	0.0137939919607267	6.14147834154961e-05	0.000744011688755377	Adipose_Subcutaneous	ENSG00000117676
ENSG00000204160.7	ZDHHC18	-0.0150297324695906	9.02845078286749e-05	0.000996550668709287	Adipose_Subcutaneous	ENSG00000204160
ENSG00000186056.5	MATN1-AS1	0.0156409501845766	1.81436816139853e-05	0.000317608128008947	Adipose_Subcutaneous	ENSG00000186056
ENSG00000084636.13	COL16A1	0.0160809510744385	2.65008655199319e-05	0.000410686314121438	Adipose_Subcutaneous	ENSG00000084636
ENSG00000184007.13	PTP4A2	-0.0169199668050902	2.96785077438586e-06	9.0260427384789e-05	Adipose_Subcutaneous	ENSG00000184007
ENSG00000004455.12	AK2	-0.0188631380110988	6.58610096834073e-07	3.25734029816866e-05	Adipose_Subcutaneous	ENSG00000004455
ENSG00000239636.1	RP4-728D4.2	0.0160629350508286	2.77247160042739e-05	0.000424684043224788	Adipose_Subcutaneous	ENSG00000239636
ENSG00000116819.6	TFAP2E	0.0232064716057651	8.81254517077142e-09	1.977169260016e-06	Adipose_Subcutaneous	ENSG00000116819
ENSG00000116871.11	MAP7D1	-0.020403068333728	6.33724229440238e-08	7.0745633589547e-06	Adipose_Subcutaneous	ENSG00000116871
ENSG00000116898.7	MRPS15	-0.0173290305331967	1.92323710794136e-06	6.73964462468999e-05	Adipose_Subcutaneous	ENSG00000116898
ENSG00000185090.10	MANEAL	0.0166576777024795	1.23496562334132e-05	0.000243376999111546	Adipose_Subcutaneous	ENSG00000185090
ENSG00000116954.7	RRAGC	-0.0146314312525195	1.76924506273657e-05	0.000311810138658542	Adipose_Subcutaneous	ENSG00000116954
ENSG00000010803.12	SCMH1	-0.0160211404688489	3.57749632887619e-06	0.000102450482425866	Adipose_Subcutaneous	ENSG00000010803
ENSG00000065978.13	YBX1	-0.0190896500572047	4.80817821203501e-08	6.05668016263302e-06	Adipose_Subcutaneous	ENSG00000065978
ENSG00000142949.12	PTPRF	-0.0172432379782185	8.02032327381446e-09	1.86903608492154e-06	Adipose_Subcutaneous	ENSG00000142949
ENSG00000126091.15	ST3GAL3	-0.0175299567120399	1.30190957459727e-06	5.20510269140379e-05	Adipose_Subcutaneous	ENSG00000126091
ENSG00000126106.9	TMEM53	-0.0173996138392048	3.71260171768476e-06	0.00010439803230377	Adipose_Subcutaneous	ENSG00000126106
ENSG00000171357.5	LURAP1	0.0153606875786683	1.8996205876265e-05	0.000326703197556465	Adipose_Subcutaneous	ENSG00000171357
ENSG00000173660.7	UQCRH	-0.0172918450526697	1.98224921115811e-06	6.87037220473e-05	Adipose_Subcutaneous	ENSG00000173660
ENSG00000123472.8	ATPAF1	-0.0198055079453017	1.18838840618935e-08	2.31583125237316e-06	Adipose_Subcutaneous	ENSG00000123472
ENSG00000162368.9	CMPK1	-0.0144574505595104	6.81777879419064e-05	0.000808548664504428	Adipose_Subcutaneous	ENSG00000162368
ENSG00000186564.5	FOXD2	0.0160597678514879	7.51600681618118e-06	0.000170256275910165	Adipose_Subcutaneous	ENSG00000186564
ENSG00000123080.6	CDKN2C	-0.0179543824008453	1.96444022783166e-06	6.84725590739642e-05	Adipose_Subcutaneous	ENSG00000123080
ENSG00000174332.3	GLIS1	-0.0191768687517566	1.21773671591593e-06	4.9568265490875e-05	Adipose_Subcutaneous	ENSG00000174332
ENSG00000203965.8	EFCAB7	0.0189617104569219	3.16323425634714e-06	9.41913154909404e-05	Adipose_Subcutaneous	ENSG00000203965
ENSG00000116652.5	DLEU2L	0.0169513615283746	3.74918726384811e-05	0.000524884488230662	Adipose_Subcutaneous	ENSG00000116652
ENSG00000079739.11	PGM1	-0.0210316591770262	2.3492090367104e-09	7.17972197891673e-07	Adipose_Subcutaneous	ENSG00000079739
ENSG00000142864.10	SERBP1	-0.0151307046343608	1.80901500065691e-06	6.51070784888935e-05	Adipose_Subcutaneous	ENSG00000142864
ENSG00000050628.16	PTGER3	-0.017315146415132	3.39307172141523e-07	2.10156266120745e-05	Adipose_Subcutaneous	ENSG00000050628
ENSG00000269933.1	RP3-333A15.2	-0.0185797423849898	3.93244198433212e-07	2.28387900043313e-05	Adipose_Subcutaneous	ENSG00000269933
ENSG00000172260.9	NEGR1	0.0172635181998934	1.61757796121082e-05	0.000292503609222322	Adipose_Subcutaneous	ENSG00000172260
ENSG00000122420.5	PTGFR	0.0201472986704703	4.76382238624173e-07	2.5754346278147e-05	Adipose_Subcutaneous	ENSG00000122420
